DBN,School name,Year of SHST,Grade level,Enrollment on 10/31,Number of students who registered for the SHSAT,Number of students who took the SHSAT,School Name,District,LatLong,City,Zip,Grade Low,Grade High,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
05M046,P.S. 046 Arthur Tappan,2013,8,91,31,14,P.S. 046 ARTHUR TAPPAN,5,40.83150:-73.93615,NEW YORK,10039,PK,6,0.903,23035.78,0.09,0.01,0.5,0.48,0.97,0.01,0.9,0.39,0.91,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.9,Meeting Target,Approaching Target,2.19,2.19,78,2,0,1,0,0,0,0,0,2,79,3,0,1,0,0,0,0,0,3,78,3,0,0,2,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,83,1,0,1,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,58,3,0,0,3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,3,63,1,0,0,0,0,0,0,0,1
05M046,P.S. 046 Arthur Tappan,2014,8,95,26,7,P.S. 046 ARTHUR TAPPAN,5,40.83150:-73.93615,NEW YORK,10039,PK,6,0.903,23035.78,0.09,0.01,0.5,0.48,0.97,0.01,0.9,0.39,0.91,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.9,Meeting Target,Approaching Target,2.19,2.19,78,2,0,1,0,0,0,0,0,2,79,3,0,1,0,0,0,0,0,3,78,3,0,0,2,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,83,1,0,1,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,58,3,0,0,3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,3,63,1,0,0,0,0,0,0,0,1
05M046,P.S. 046 Arthur Tappan,2015,8,73,21,10,P.S. 046 ARTHUR TAPPAN,5,40.83150:-73.93615,NEW YORK,10039,PK,6,0.903,23035.78,0.09,0.01,0.5,0.48,0.97,0.01,0.9,0.39,0.91,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.9,Meeting Target,Approaching Target,2.19,2.19,78,2,0,1,0,0,0,0,0,2,79,3,0,1,0,0,0,0,0,3,78,3,0,0,2,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,83,1,0,1,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,58,3,0,0,3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,3,63,1,0,0,0,0,0,0,0,1
05M046,P.S. 046 Arthur Tappan,2016,8,56,20,8,P.S. 046 ARTHUR TAPPAN,5,40.83150:-73.93615,NEW YORK,10039,PK,6,0.903,23035.78,0.09,0.01,0.5,0.48,0.97,0.01,0.9,0.39,0.91,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.9,Meeting Target,Approaching Target,2.19,2.19,78,2,0,1,0,0,0,0,0,2,79,3,0,1,0,0,0,0,0,3,78,3,0,0,2,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,83,1,0,1,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,58,3,0,0,3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,3,63,1,0,0,0,0,0,0,0,1
05M123,P.S. 123 Mahalia Jackson,2013,8,62,31,14,P.S. 123 MAHALIA JACKSON,5,40.82019:-73.94446,NEW YORK,10030,PK,8,0.835,34752.53,0.17,0.02,0.52,0.41,0.93,0.04,0.88,0.49,0.83,Approaching Target,0.72,Approaching Target,0.84,Approaching Target,0.65,Not Meeting Target,0.82,Approaching Target,0.81,Approaching Target,Approaching Target,2.11,2,41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,53,3,0,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,51,2,0,2,0,0,0,0,0,2,53,1,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
05M123,P.S. 123 Mahalia Jackson,2014,8,62,25,13,P.S. 123 MAHALIA JACKSON,5,40.82019:-73.94446,NEW YORK,10030,PK,8,0.835,34752.53,0.17,0.02,0.52,0.41,0.93,0.04,0.88,0.49,0.83,Approaching Target,0.72,Approaching Target,0.84,Approaching Target,0.65,Not Meeting Target,0.82,Approaching Target,0.81,Approaching Target,Approaching Target,2.11,2,41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,53,3,0,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,51,2,0,2,0,0,0,0,0,2,53,1,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
05M123,P.S. 123 Mahalia Jackson,2015,8,62,12,5,P.S. 123 MAHALIA JACKSON,5,40.82019:-73.94446,NEW YORK,10030,PK,8,0.835,34752.53,0.17,0.02,0.52,0.41,0.93,0.04,0.88,0.49,0.83,Approaching Target,0.72,Approaching Target,0.84,Approaching Target,0.65,Not Meeting Target,0.82,Approaching Target,0.81,Approaching Target,Approaching Target,2.11,2,41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,53,3,0,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,51,2,0,2,0,0,0,0,0,2,53,1,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
05M123,P.S. 123 Mahalia Jackson,2016,8,55,16,5,P.S. 123 MAHALIA JACKSON,5,40.82019:-73.94446,NEW YORK,10030,PK,8,0.835,34752.53,0.17,0.02,0.52,0.41,0.93,0.04,0.88,0.49,0.83,Approaching Target,0.72,Approaching Target,0.84,Approaching Target,0.65,Not Meeting Target,0.82,Approaching Target,0.81,Approaching Target,Approaching Target,2.11,2,41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,53,3,0,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,51,2,0,2,0,0,0,0,0,2,53,1,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
05M129,P.S. 129 John H. Finley,2013,8,84,58,14,P.S. 129 JOHN H. FINLEY,5,40.81498:-73.95212,NEW YORK,10027,PK,8,0.854,31077.89,0.11,0.02,0.42,0.51,0.93,0.01,0.92,0.33,0.9,Approaching Target,0.91,Approaching Target,0.82,Approaching Target,0.76,Approaching Target,0.81,Approaching Target,0.89,Meeting Target,Meeting Target,2.38,2.29,38,5,0,2,2,0,0,0,0,0,39,7,0,2,3,0,0,0,0,0,49,5,0,0,2,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,61,5,0,3,0,0,0,0,0,5,65,7,0,2,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,56,3,0,0,3,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0
05M129,P.S. 129 John H. Finley,2014,8,55,23,12,P.S. 129 JOHN H. FINLEY,5,40.81498:-73.95212,NEW YORK,10027,PK,8,0.854,31077.89,0.11,0.02,0.42,0.51,0.93,0.01,0.92,0.33,0.9,Approaching Target,0.91,Approaching Target,0.82,Approaching Target,0.76,Approaching Target,0.81,Approaching Target,0.89,Meeting Target,Meeting Target,2.38,2.29,38,5,0,2,2,0,0,0,0,0,39,7,0,2,3,0,0,0,0,0,49,5,0,0,2,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,61,5,0,3,0,0,0,0,0,5,65,7,0,2,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,56,3,0,0,3,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0
05M129,P.S. 129 John H. Finley,2015,8,63,12,10,P.S. 129 JOHN H. FINLEY,5,40.81498:-73.95212,NEW YORK,10027,PK,8,0.854,31077.89,0.11,0.02,0.42,0.51,0.93,0.01,0.92,0.33,0.9,Approaching Target,0.91,Approaching Target,0.82,Approaching Target,0.76,Approaching Target,0.81,Approaching Target,0.89,Meeting Target,Meeting Target,2.38,2.29,38,5,0,2,2,0,0,0,0,0,39,7,0,2,3,0,0,0,0,0,49,5,0,0,2,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,61,5,0,3,0,0,0,0,0,5,65,7,0,2,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,56,3,0,0,3,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0
05M129,P.S. 129 John H. Finley,2016,8,50,15,12,P.S. 129 JOHN H. FINLEY,5,40.81498:-73.95212,NEW YORK,10027,PK,8,0.854,31077.89,0.11,0.02,0.42,0.51,0.93,0.01,0.92,0.33,0.9,Approaching Target,0.91,Approaching Target,0.82,Approaching Target,0.76,Approaching Target,0.81,Approaching Target,0.89,Meeting Target,Meeting Target,2.38,2.29,38,5,0,2,2,0,0,0,0,0,39,7,0,2,3,0,0,0,0,0,49,5,0,0,2,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,61,5,0,3,0,0,0,0,0,5,65,7,0,2,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,56,3,0,0,3,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0
05M148,Eagle Academy for Young Men of Harlem,2015,8,76,5,5,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,40.81728:-73.94724,NEW YORK,10030,6,12,0.747,NA,0.03,0,0.74,0.24,0.98,0.01,0.88,0.47,0.92,Meeting Target,0.91,Meeting Target,0.83,Meeting Target,0.91,Meeting Target,0.82,Meeting Target,0.9,Meeting Target,Approaching Target,2.26,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48,2,0,2,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,64,2,0,1,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0
05M148,Eagle Academy for Young Men of Harlem,2016,8,60,7,6,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,40.81728:-73.94724,NEW YORK,10030,6,12,0.747,NA,0.03,0,0.74,0.24,0.98,0.01,0.88,0.47,0.92,Meeting Target,0.91,Meeting Target,0.83,Meeting Target,0.91,Meeting Target,0.82,Meeting Target,0.9,Meeting Target,Approaching Target,2.26,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48,2,0,2,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,64,2,0,1,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0
05M148,Eagle Academy for Young Men of Harlem,2016,9,86,0,0,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,40.81728:-73.94724,NEW YORK,10030,6,12,0.747,NA,0.03,0,0.74,0.24,0.98,0.01,0.88,0.47,0.92,Meeting Target,0.91,Meeting Target,0.83,Meeting Target,0.91,Meeting Target,0.82,Meeting Target,0.9,Meeting Target,Approaching Target,2.26,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48,2,0,2,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,64,2,0,1,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0
05M157,The Urban Assembly School for Global Commerce,2013,9,82,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M157,The Urban Assembly School for Global Commerce,2014,9,103,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M157,The Urban Assembly School for Global Commerce,2015,9,60,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M157,The Urban Assembly School for Global Commerce,2016,9,64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M161,P.S. 161 Pedro Albizu Campos,2013,8,118,10,5,P.S. 161 PEDRO ALBIZU CAMPOS,5,40.81772:-73.95246,NEW YORK,10027,PK,8,0.875,29854.02,0.27,0.03,0.18,0.77,0.95,0.01,0.91,0.35,0.89,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.79,Meeting Target,0.86,Meeting Target,0.9,Meeting Target,Meeting Target,2.28,2.38,69,0,0,0,0,0,0,0,0,0,70,6,0,0,6,0,0,0,1,0,77,1,0,0,1,0,0,0,0,0,81,7,0,0,5,0,0,0,0,0,109,2,0,0,2,0,0,0,0,0,112,11,0,0,9,0,0,0,1,11,112,7,0,0,6,0,0,0,0,7,114,12,0,0,10,0,0,0,1,12,100,4,0,0,3,0,0,0,0,3,101,1,0,0,1,0,0,0,0,1,113,5,0,0,5,0,0,0,0,5,117,0,0,0,0,0,0,0,0,0
05M161,P.S. 161 Pedro Albizu Campos,2014,8,123,26,17,P.S. 161 PEDRO ALBIZU CAMPOS,5,40.81772:-73.95246,NEW YORK,10027,PK,8,0.875,29854.02,0.27,0.03,0.18,0.77,0.95,0.01,0.91,0.35,0.89,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.79,Meeting Target,0.86,Meeting Target,0.9,Meeting Target,Meeting Target,2.28,2.38,69,0,0,0,0,0,0,0,0,0,70,6,0,0,6,0,0,0,1,0,77,1,0,0,1,0,0,0,0,0,81,7,0,0,5,0,0,0,0,0,109,2,0,0,2,0,0,0,0,0,112,11,0,0,9,0,0,0,1,11,112,7,0,0,6,0,0,0,0,7,114,12,0,0,10,0,0,0,1,12,100,4,0,0,3,0,0,0,0,3,101,1,0,0,1,0,0,0,0,1,113,5,0,0,5,0,0,0,0,5,117,0,0,0,0,0,0,0,0,0
